,Name,Stock Ticker,SEC filings,GICS Sector,GICS Sub Industry,Headquarters,Date first added,CIK,Founded,Latitude,Longitude
354,Prudential Financial,PRU,reports,Financials,Life & Health Insurance,"Newark, New Jersey",7/22/02,1137774,,40.735657,-74.1723667
355,Public Serv. Enterprise Inc.,PEG,reports,Utilities,Electric Utilities,"Newark, New Jersey",,788784,,40.735657,-74.1723667
356,Public Storage,PSA,reports,Real Estate,Specialized REITs,"Glendale, California",8/19/05,1393311,,34.1425078,-118.255075
357,Pulte Homes Inc.,PHM,reports,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",4/30/84,822416,,33.7489954,-84.3879824
358,PVH Corp.,PVH,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2/15/13,78239,,36.1023715,-115.1745559
359,Qorvo,QRVO,reports,Information Technology,Semiconductors,"Greensboro, North Carolina",6/11/15,1604778,,36.0726354,-79.7919754
360,QUALCOMM Inc.,QCOM,reports,Information Technology,Semiconductors,"San Diego, California",,804328,1985,32.715738,-117.1610838
361,Quanta Services Inc.,PWR,reports,Industrials,Construction & Engineering,"Houston, Texas",7/1/09,1050915,,29.7604267,-95.3698028
362,Quest Diagnostics,DGX,reports,Health Care,Health Care Services,"Madison, New Jersey",12/12/02,1022079,,40.7598227,-74.417097
363,Raymond James Financial Inc.,RJF,reports,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",3/20/17,720005,,27.7676008,-82.6402915
364,Raytheon Co.,RTN,reports,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,1047122,1922,42.3764852,-71.2356113
365,Realty Income Corporation,O,reports,Real Estate,Retail REITs,"San Diego, California",4/7/15,726728,,32.715738,-117.1610838
366,Red Hat Inc.,RHT,reports,Information Technology,Systems Software,"Raleigh, North Carolina",7/27/09,1087423,,35.7795897,-78.6381787
367,Regency Centers Corporation,REG,reports,Real Estate,Retail REITs,"Jacksonville, Florida",3/2/17,910606,,30.3321838,-81.655651
368,Regeneron,REGN,reports,Health Care,Biotechnology,"Tarrytown, New York",5/1/13,872589,,41.0762077,-73.8587461
369,Regions Financial Corp.,RF,reports,Financials,Regional Banks,"Birmingham, Alabama",8/28/98,1281761,,33.5185892,-86.8103567
370,Republic Services Inc,RSG,reports,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",12/5/08,1060391,,33.4483771,-112.0740373
371,ResMed,RMD,reports,Health Care,Health Care Equipment,"San Diego, California",7/26/17,943819,,32.715738,-117.1610838
372,Robert Half International,RHI,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",12/5/00,315213,,37.4529598,-122.1817252
373,Rockwell Automation Inc.,ROK,reports,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478,,43.0389025,-87.9064736
374,Rollins Inc.,ROL,reports,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",10/1/18,84839,,33.7489954,-84.3879824
375,Roper Technologies,ROP,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",12/23/09,882835,,27.3364347,-82.5306527
376,Ross Stores,ROST,reports,Consumer Discretionary,Apparel Retail,"Pleasanton, California",12/21/09,745732,,37.6624312,-121.8746789
377,Royal Caribbean Cruises Ltd,RCL,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/5/14,884887,,25.7616798,-80.1917902
378,"S&P Global, Inc.",SPGI,reports,Financials,Financial Exchanges & Data,"New York, New York",,64040,,36.1023715,-115.1745559
379,Salesforce.com,CRM,reports,Information Technology,Internet Software & Services,"San Francisco, California",9/15/08,1108524,,37.7749295,-122.4194155
380,SBA Communications,SBAC,reports,Real Estate,Specialized REITs,"Boca Raton, Florida",9/1/17,1034054,,26.3683064,-80.1289321
381,Schlumberger Ltd.,SLB,reports,Energy,Oil & Gas Equipment & Services,"CuraÁao,†Kingdom of the Netherlands",3/31/65,87347,1926,52.6508,6.72372
382,Seagate Technology,STX,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",7/2/12,1137789,,53.3498053,-6.2603097
383,Sealed Air,SEE,reports,Materials,Paper Packaging,"Elmwood Park, New Jersey",,1012100,,40.9039878,-74.118476
384,Sempra Energy,SRE,reports,Utilities,Multi-Utilities,"San Diego, California",,1032208,,32.715738,-117.1610838
385,Sherwin-Williams,SHW,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",6/30/64,89800,1866,41.49932,-81.6943605
386,Simon Property Group Inc,SPG,reports,Real Estate,Retail REITs,"Indianapolis, Indiana",6/26/02,1063761,,39.768403,-86.158068
387,Skyworks Solutions,SWKS,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",3/12/15,4127,,42.4792618,-71.1522765
388,SL Green Realty,SLG,reports,Real Estate,Office REITs,"New York, New York",3/20/15,1040971,,36.1023715,-115.1745559
389,Snap-on,SNA,reports,Industrials,Industrial Machinery,"Kenosha, Wisconsin",9/30/82,91440,,42.5847425,-87.8211854
390,Southern Co.,SO,reports,Utilities,Electric Utilities,"Atlanta, Georgia",,92122,,33.7489954,-84.3879824
391,Southwest Airlines,LUV,reports,Industrials,Airlines,"Dallas, Texas",7/1/94,92380,,32.7766642,-96.7969879
392,Stanley Black & Decker,SWK,reports,Industrials,Industrial Machinery,"New Britain, Connecticut",9/30/82,93556,,41.6612104,-72.7795419
393,Starbucks Corp.,SBUX,reports,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224,1971,47.6062095,-122.3320708
394,State Street Corp.,STT,reports,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751,,42.3600825,-71.0588801
395,Stryker Corp.,SYK,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",12/12/00,310764,,42.2917069,-85.5872286
396,SunTrust Banks,STI,reports,Financials,Regional Banks,"Atlanta, Georgia",5/31/88,750556,,33.7489954,-84.3879824
397,SVB Financial,SIVB,reports,Financials,Regional Banks,"Santa Clara, California",3/19/18,719739,,37.3541079,-121.9552356
398,Symantec Corp.,SYMC,reports,Information Technology,Application Software,"Mountain View, California",3/25/03,849399,,37.3860517,-122.0838511
399,Synchrony Financial,SYF,reports,Financials,Consumer Finance,"Stamford, Connecticut",11/18/15,1601712,,41.0534302,-73.5387341
400,Synopsys Inc.,SNPS,reports,Information Technology,Application Software,"Mountain View, California",3/16/17,883241,,37.3860517,-122.0838511
401,Sysco Corp.,SYY,reports,Consumer Staples,Food Distributors,"Houston, Texas",12/31/86,96021,,29.7604267,-95.3698028
402,T. Rowe Price Group,TROW,reports,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169,1937,39.2903848,-76.6121893
403,Take-Two Interactive,TTWO,reports,Communication Services,Interactive Home Entertainment,"New York, New York",3/19/18,946581,,36.1023715,-115.1745559
404,"Tapestry, Inc.",TPR,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1116132,2017,36.1023715,-115.1745559
405,Target Corp.,TGT,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",12/31/76,27419,,44.977753,-93.2650108
406,TE Connectivity Ltd.,TEL,reports,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",10/17/11,1385157,,47.6958897,8.6380489
407,TechnipFMC,FTI,reports,Energy,Oil & Gas Equipment & Services,"London,†United Kingdom",6/5/09,1681459,,51.5073509,-0.1277583
408,Teleflex Inc,TFX,reports,Health Care,Health Care Equipment,"Wayne, Pennsylvania",1/18/19,96943,1943,40.0415996,-75.3698895
409,Texas Instruments,TXN,reports,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930,32.7766642,-96.7969879
410,Textron Inc.,TXT,reports,Industrials,Aerospace & Defense,"Providence, Rhode Island",12/31/78,217346,,41.8239891,-71.4128343
411,The Bank of New York Mellon Corp.,BK,reports,Financials,Asset Management & Custody Banks,"New York, New York",3/31/95,1390777,,36.1023715,-115.1745559
412,The Clorox Company,CLX,reports,Consumer Staples,Household Products,"Oakland, California",3/31/69,21076,1913,37.8043637,-122.2711137
413,The Cooper Companies,COO,reports,Health Care,Health Care Supplies,"Pleasanton, California",9/23/16,711404,,37.6624312,-121.8746789
414,The Hershey Company,HSY,reports,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",,47111,1894,40.2859239,-76.6502468
415,The Mosaic Company,MOS,reports,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",9/26/11,1285785,,45.0105194,-93.4555093
416,Thermo Fisher Scientific,TMO,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",,97745,2006,42.3764852,-71.2356113
417,Tiffany & Co.,TIF,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",6/21/00,98246,,36.1023715,-115.1745559
418,TJX Companies Inc.,TJX,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",9/30/85,109198,,42.279286,-71.4161565
419,Torchmark Corp.,TMK,reports,Financials,Life & Health Insurance,"McKinney, Texas",4/30/89,320335,,33.1972465,-96.6397822
420,Total System Services,TSS,reports,Information Technology,Internet Software & Services,"Columbus, Georgia",1/2/08,721683,,32.4609764,-84.9877094
421,Tractor Supply Company,TSCO,reports,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",1/24/14,916365,,36.0331164,-86.7827772
422,TransDigm Group,TDG,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",6/3/16,1260221,,41.49932,-81.6943605
423,TripAdvisor,TRIP,reports,Communication Services,Interactive Media & Services,"Newton, Massachusetts",12/21/11,1526520,,42.3370413,-71.2092214
424,Twenty-First Century Fox Class A,FOXA,reports,Communication Services,Movies & Entertainment,"New York, New York",7/1/13,1308161,,36.1023715,-115.1745559
425,Twenty-First Century Fox Class B,FOX,reports,Communication Services,Movies & Entertainment,"New York, New York",9/18/15,1308161,,36.1023715,-115.1745559
426,"Twitter, Inc.",TWTR,reports,Communication Services,Interactive Media & Services,"San Francisco, California",6/7/18,1418091,,37.7749295,-122.4194155
427,Tyson Foods,TSN,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493,,36.1867442,-94.1288141
428,U.S. Bancorp,USB,reports,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104,1968,44.977753,-93.2650108
429,UDR Inc,UDR,reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",3/7/16,74208,,39.5480789,-104.9739333
430,Ulta Beauty,ULTA,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",4/18/16,1403568,,41.6986416,-88.0683955
431,Under Armour Class A,UAA,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",3/25/16,1336917,,39.2903848,-76.6121893
432,Under Armour Class C,UA,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",5/1/14,1336917,,39.2903848,-76.6121893
433,Union Pacific,UNP,reports,Industrials,Railroads,"Omaha, Nebraska",,100885,,41.2565369,-95.9345034
434,United Continental Holdings,UAL,reports,Industrials,Airlines,"Chicago, Illinois",9/3/15,100517,,41.8781136,-87.6297982
435,United Parcel Service,UPS,reports,Industrials,Air Freight & Logistics,"Atlanta, Georgia",7/22/02,1090727,,33.7489954,-84.3879824
436,"United Rentals, Inc.",URI,reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",9/20/14,1067701,,41.0534302,-73.5387341
437,"Universal Health Services, Inc.",UHS,reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",9/20/14,352915,,40.1012856,-75.3835525
438,Unum Group,UNM,reports,Financials,Life & Health Insurance,"Chattanooga, Tennessee",3/1/94,5513,,35.0456297,-85.3096801
439,V.F. Corp.,VFC,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",6/30/79,103379,,36.0726354,-79.7919754
440,Valero Energy,VLO,reports,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002,1980,29.4241219,-98.4936282
441,Varian Medical Systems,VAR,reports,Health Care,Health Care Equipment,"Palo Alto, California",2/12/07,203527,,37.4418834,-122.1430195
442,Ventas Inc,VTR,reports,Real Estate,Health Care REITs,"Chicago, Illinois",3/4/09,740260,,41.8781136,-87.6297982
443,Verisign Inc.,VRSN,reports,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2/1/06,1014473,,38.9624899,-77.4380485
444,Verisk Analytics,VRSK,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",10/8/15,1442145,,40.7177545,-74.0431435
445,Vertex Pharmaceuticals Inc,VRTX,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",9/23/13,875320,,42.3736158,-71.1097335
446,Viacom Inc.,VIAB,reports,Communication Services,Movies & Entertainment,"New York, New York",,1339947,,36.1023715,-115.1745559
447,Vornado Realty Trust,VNO,reports,Real Estate,Office REITs,"New York, New York",,899689,,36.1023715,-115.1745559
448,Vulcan Materials,VMC,reports,Materials,Construction Materials,"Birmingham, Alabama",6/30/99,1396009,,33.5185892,-86.8103567
449,Wabtec Corporation,WAB,reports,Industrials,Construction Machinery & Heavy Trucks,"Wilmerding, Pennsylvania",2/27/19,943452,,40.3909023,-79.8100472
450,Waste Management Inc.,WM,reports,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768,1968,29.7604267,-95.3698028
451,Waters Corporation,WAT,reports,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697,1958,42.1398577,-71.5163049
452,Wec Energy Group Inc,WEC,reports,Utilities,Electric Utilities,"Milwaukee, Wisconsin",10/31/08,783325,,43.0389025,-87.9064736
453,WellCare,WCG,reports,Health Care,Managed Health Care,"Tampa, Florida",1985,1279363,,27.950575,-82.4571776
454,Wells Fargo,WFC,reports,Financials,Diversified Banks,"San Francisco, California",6/30/76,72971,,37.7749295,-122.4194155
455,Welltower Inc.,WELL,reports,Real Estate,Health Care REITs,"Toledo, Ohio",1/30/09,766704,,41.6528052,-83.5378674
456,Western Digital,WDC,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",7/1/09,106040,,33.6845673,-117.8265049
457,Western Union Co,WU,reports,Information Technology,Internet Software & Services,"Englewood, Colorado",,1365135,1851,39.6477653,-104.9877597
458,WestRock,WRK,reports,Materials,Paper Packaging,"Richmond, Virginia",,1636023,,37.5407246,-77.4360481
459,Weyerhaeuser,WY,reports,Real Estate,Specialized REITS,"Federal Way, Washington",,106535,,47.3223221,-122.3126222
460,Whirlpool Corp.,WHR,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640,1911,42.1167065,-86.4541894
461,Williams Cos.,WMB,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/31/75,107263,,36.1539816,-95.992775
462,Willis Towers Watson,WLTW,reports,Financials,Insurance Brokers,"London, United Kingdom",1/5/16,1140536,,51.5073509,-0.1277583
463,Wynn Resorts Ltd,WYNN,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",11/14/08,1174922,,36.0971945,-115.1466648
464,Xcel Energy Inc,XEL,reports,Utilities,Multi-Utilities,"Minneapolis, Minnesota",,72903,1909,44.977753,-93.2650108
465,Xerox,XRX,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,108772,1906,41.117744,-73.4081575
466,Xilinx,XLNX,reports,Information Technology,Semiconductors,"San Jose, California",11/8/99,743988,,37.3382082,-121.8863286
467,Xylem Inc.,XYL,reports,Industrials,Industrial Machinery,"White Plains, New York",11/1/11,1524472,,41.0339862,-73.7629097
468,Yum! Brands Inc,YUM,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",10/6/97,1041061,,38.2526647,-85.7584557
469,Zimmer Biomet Holdings,ZBH,reports,Health Care,Health Care Equipment,"Warsaw, Indiana",8/7/01,1136869,,41.2381,-85.8530469
470,Zions Bancorp,ZION,reports,Financials,Regional Banks,"Salt Lake City, Utah",6/22/01,109380,,40.7607793,-111.8910474
471,Zoetis,ZTS,reports,Health Care,Pharmaceuticals,"Florham Park, New Jersey",6/21/13,1555280,,40.787878,-74.3882072
